Seq,Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species,density,distance_higherDensity
1,5.1,3.5,1.4,0.2,setosa,21.0,0.14142135623730964
2,4.9,3.0,1.4,0.2,setosa,13.0,0.14142135623730964
3,4.7,3.2,1.3,0.2,setosa,16.0,0.30000000000000004
4,4.6,3.1,1.5,0.2,setosa,15.0,0.17320508075688812
5,5.0,3.6,1.4,0.2,setosa,17.0,0.1414213562373093
6,5.4,3.9,1.7,0.4,setosa,9.0,0.2828427124746188
7,4.6,3.4,1.4,0.3,setosa,8.0,0.19999999999999973
8,5.0,3.4,1.5,0.2,setosa,21.0,0.09999999999999964
9,4.4,2.9,1.4,0.2,setosa,6.0,0.14142135623730948
10,4.9,3.1,1.5,0.1,setosa,18.0,0.24494897427831747
11,5.4,3.7,1.5,0.2,setosa,15.0,0.10000000000000053
12,4.8,3.4,1.6,0.2,setosa,21.0,0.30000000000000027
13,4.8,3.0,1.4,0.1,setosa,13.0,0.17320508075688812
14,4.3,3.0,1.1,0.1,setosa,4.0,0.22360679774997916
15,5.8,4.0,1.2,0.2,setosa,1.0,0.412310562561766
16,5.7,4.4,1.5,0.4,setosa,2.0,0.30000000000000027
17,5.4,3.9,1.3,0.4,setosa,7.0,0.2828427124746188
18,5.1,3.5,1.4,0.3,setosa,21.0,0.14142135623730964
19,5.7,3.8,1.7,0.3,setosa,3.0,0.31622776601683783
20,5.1,3.8,1.5,0.3,setosa,17.0,0.31622776601683783
21,5.4,3.4,1.7,0.2,setosa,8.0,0.19999999999999996
22,5.1,3.7,1.5,0.4,setosa,16.0,0.09999999999999964
23,4.6,3.6,1.0,0.2,setosa,1.0,0.4472135954999579
24,5.1,3.3,1.7,0.5,setosa,18.0,0.1732050807568875
25,4.8,3.4,1.9,0.2,setosa,6.0,0.2999999999999998
26,5.0,3.0,1.6,0.2,setosa,11.0,0.17320508075688762
27,5.0,3.4,1.6,0.4,setosa,21.0,0.1414213562373093
28,5.2,3.5,1.5,0.2,setosa,21.0,0.14142135623730995
29,5.2,3.4,1.4,0.2,setosa,20.0,0.14142135623730964
30,4.7,3.2,1.6,0.2,setosa,17.0,0.22360679774997858
31,4.8,3.1,1.6,0.2,setosa,16.0,0.1414213562373093
32,5.4,3.4,1.5,0.4,setosa,12.0,0.22360679774997916
33,5.2,4.1,1.5,0.1,setosa,6.0,0.31622776601683794
34,5.5,4.2,1.4,0.2,setosa,4.0,0.33166247903554
35,4.9,3.1,1.5,0.2,setosa,18.0,0.24494897427831747
36,5.0,3.2,1.2,0.2,setosa,14.0,0.22360679774997877
37,5.5,3.5,1.3,0.2,setosa,6.0,0.24494897427831766
38,4.9,3.6,1.4,0.1,setosa,17.0,0.22360679774997838
39,4.4,3.0,1.3,0.2,setosa,7.0,0.20000000000000018
40,5.1,3.4,1.5,0.2,setosa,22.0,0.17320508075688762
41,5.0,3.5,1.3,0.3,setosa,16.0,0.14142135623730917
42,4.5,2.3,1.3,0.3,setosa,1.0,0.6164414002968976
43,4.4,3.2,1.3,0.2,setosa,8.0,0.22360679774997827
44,5.0,3.5,1.6,0.6,setosa,19.0,0.10000000000000009
45,5.1,3.8,1.9,0.4,setosa,4.0,0.2999999999999998
46,4.8,3.0,1.4,0.3,setosa,13.0,0.17320508075688812
47,5.1,3.8,1.6,0.2,setosa,14.0,0.10000000000000009
48,4.6,3.2,1.4,0.2,setosa,15.0,0.14142135623730978
49,5.3,3.7,1.5,0.2,setosa,17.0,0.22360679774997896
50,5.0,3.3,1.4,0.2,setosa,24.0,6.166846844214635
51,7.0,3.2,4.7,1.4,versicolor,3.0,0.24494897427831785
52,6.4,3.2,4.5,1.5,versicolor,8.0,0.3741657386773941
53,6.9,3.1,4.9,1.5,versicolor,7.0,0.24494897427831783
54,5.5,2.3,4.0,1.3,versicolor,5.0,0.20000000000000018
55,6.5,2.8,4.6,1.5,versicolor,8.0,0.3605551275463989
56,5.7,2.8,4.5,1.3,versicolor,9.0,0.31622776601683783
57,6.3,3.3,4.7,1.6,versicolor,4.0,0.24494897427831802
58,4.9,2.4,3.3,1.0,versicolor,3.0,0.1414213562373093
59,6.6,2.9,4.6,1.3,versicolor,8.0,0.24494897427831838
60,5.2,2.7,3.9,1.4,versicolor,2.0,0.3741657386773941
61,5.0,2.0,3.5,1.0,versicolor,2.0,0.3605551275463989
62,5.9,3.0,4.2,1.5,versicolor,9.0,0.22360679774997916
63,6.0,2.2,4.0,1.0,versicolor,1.0,0.4472135954999579
64,6.1,2.9,4.7,1.4,versicolor,9.0,0.14142135623730995
65,5.6,2.9,3.6,1.3,versicolor,2.0,0.33166247903554
66,6.7,3.1,4.4,1.4,versicolor,6.0,0.14142135623730995
67,5.6,3.0,4.5,1.5,versicolor,6.0,0.22360679774997935
68,5.8,2.7,4.1,1.0,versicolor,12.0,0.8124038404635964
69,6.2,2.2,4.5,1.5,versicolor,2.0,0.5099019513592786
70,5.6,2.5,3.9,1.1,versicolor,10.0,0.1414213562373093
71,5.9,3.2,4.8,1.8,versicolor,7.0,0.22360679774997896
72,6.1,2.8,4.0,1.3,versicolor,6.0,0.33166247903553964
73,6.3,2.5,4.9,1.5,versicolor,5.0,0.09999999999999964
74,6.1,2.8,4.7,1.2,versicolor,8.0,0.10000000000000009
75,6.4,2.9,4.3,1.3,versicolor,7.0,0.33166247903553975
76,6.6,3.0,4.4,1.4,versicolor,7.0,0.22360679774997838
77,6.8,2.8,4.8,1.4,versicolor,6.0,0.30000000000000016
78,6.7,3.0,5.0,1.7,versicolor,8.0,0.20000000000000018
79,6.0,2.9,4.5,1.5,versicolor,9.0,0.17320508075688737
80,5.7,2.6,3.5,1.0,versicolor,3.0,0.3464101615137758
81,5.5,2.4,3.8,1.1,versicolor,5.0,0.09999999999999964
82,5.5,2.4,3.7,1.0,versicolor,6.0,0.2449489742783175
83,5.8,2.7,3.9,1.2,versicolor,9.0,0.19999999999999973
84,6.0,2.7,5.1,1.6,versicolor,11.0,0.374165738677394
85,5.4,3.0,4.5,1.5,versicolor,3.0,0.1999999999999993
86,6.0,3.4,4.5,1.6,versicolor,3.0,0.3741657386773938
87,6.7,3.1,4.7,1.5,versicolor,10.0,0.5916079783099617
88,6.3,2.3,4.4,1.3,versicolor,2.0,0.5385164807134505
89,5.6,3.0,4.1,1.3,versicolor,8.0,0.14142135623731025
90,5.5,2.5,4.0,1.3,versicolor,11.0,0.30000000000000016
91,5.5,2.6,4.4,1.2,versicolor,3.0,0.24494897427831785
92,6.1,3.0,4.6,1.4,versicolor,11.0,0.30000000000000043
93,5.8,2.6,4.0,1.2,versicolor,9.0,0.1414213562373093
94,5.0,2.3,3.3,1.0,versicolor,4.0,0.6480740698407862
95,5.6,2.7,4.2,1.3,versicolor,12.0,0.8544003745317532
96,5.7,3.0,4.2,1.2,versicolor,9.0,0.10000000000000009
97,5.7,2.9,4.2,1.3,versicolor,11.0,0.14142135623730995
98,6.2,2.9,4.3,1.3,versicolor,6.0,0.20000000000000018
99,5.1,2.5,3.0,1.1,versicolor,3.0,0.374165738677394
100,5.7,2.8,4.1,1.3,versicolor,12.0,0.8602325267042628
101,6.3,3.3,6.0,2.5,virginica,1.0,0.4123105625617661
102,5.8,2.7,5.1,1.9,virginica,7.0,0.20000000000000018
103,7.1,3.0,5.9,2.1,virginica,5.0,0.34641016151377524
104,6.3,2.9,5.6,1.8,virginica,8.0,0.24494897427831783
105,6.5,3.0,5.8,2.2,virginica,10.0,0.2999999999999998
106,7.6,3.0,6.6,2.1,virginica,2.0,0.24494897427831838
107,4.9,2.5,4.5,1.7,virginica,1.0,0.6164414002968973
108,7.3,2.9,6.3,1.8,virginica,2.0,0.24494897427831822
109,6.7,2.5,5.8,1.8,virginica,1.0,0.4690415759823428
110,7.2,3.6,6.1,2.5,virginica,1.0,0.41231056256176585
111,6.5,3.2,5.1,2.0,virginica,5.0,0.22360679774997896
112,6.4,2.7,5.3,1.9,virginica,8.0,0.24494897427831802
113,6.8,3.0,5.5,2.1,virginica,8.0,0.17320508075688737
114,5.7,2.5,5.0,2.0,virginica,6.0,0.24494897427831766
115,5.8,2.8,5.1,2.4,virginica,7.0,0.22360679774997896
116,6.4,3.2,5.3,2.3,virginica,8.0,0.22360679774997916
117,6.5,3.0,5.5,1.8,virginica,12.0,0.7874007874011812
118,7.7,3.8,6.7,2.2,virginica,2.0,1.0
119,7.7,2.6,6.9,2.3,virginica,2.0,0.28284271247461895
120,6.0,2.2,5.0,1.5,virginica,1.0,0.4242640687119283
121,6.9,3.2,5.7,2.3,virginica,9.0,0.24494897427831822
122,5.6,2.8,4.9,2.0,virginica,5.0,0.2828427124746186
123,7.7,2.8,6.7,2.0,virginica,3.0,1.0198039027185573
124,6.3,2.7,4.9,1.8,virginica,10.0,0.17320508075688762
125,6.7,3.3,5.7,2.1,virginica,7.0,0.22360679774997896
126,7.2,3.2,6.0,1.8,virginica,3.0,0.24494897427831802
127,6.2,2.8,4.8,1.8,virginica,13.0,3.327160951922825
128,6.1,3.0,4.9,1.8,virginica,11.0,0.24494897427831838
129,6.4,2.8,5.6,2.1,virginica,8.0,0.24494897427831766
130,7.2,3.0,5.8,1.6,virginica,4.0,0.14142135623731025
131,7.4,2.8,6.1,1.9,virginica,3.0,0.4123105625617661
132,7.9,3.8,6.4,2.0,virginica,2.0,1.0049875621120892
133,6.4,2.8,5.6,2.2,virginica,8.0,0.24494897427831766
134,6.3,2.8,5.1,1.5,virginica,9.0,0.22360679774997816
135,6.1,2.6,5.6,1.4,virginica,4.0,0.3605551275463989
136,7.7,3.0,6.1,2.3,virginica,2.0,0.3605551275463989
137,6.3,3.4,5.6,2.4,virginica,4.0,0.33166247903553986
138,6.4,3.1,5.5,1.8,virginica,11.0,0.1414213562373093
139,6.0,3.0,4.8,1.8,virginica,9.0,0.14142135623730964
140,6.9,3.1,5.4,2.1,virginica,6.0,0.17320508075688787
141,6.7,3.1,5.6,2.4,virginica,10.0,0.24494897427831783
142,6.9,3.1,5.1,2.3,virginica,5.0,0.1999999999999993
143,5.8,2.7,5.1,1.9,virginica,7.0,0.20000000000000018
144,6.8,3.2,5.9,2.3,virginica,7.0,0.22360679774997935
145,6.7,3.3,5.7,2.5,virginica,7.0,0.22360679774997896
146,6.7,3.0,5.2,2.3,virginica,10.0,0.3605551275463989
147,6.3,2.5,5.0,1.9,virginica,7.0,0.22360679774997896
148,6.5,3.0,5.2,2.0,virginica,9.0,0.20000000000000018
149,6.2,3.4,5.4,2.3,virginica,4.0,0.3000000000000001
